Sort_Id,Category,Label,Internal,Type,SFDC2014obj,SalesForce,SFDC2015obj,SFDC2015field,Object,JIRA_field,JIRA_set_special,JIRA_direct,JIRA_description,Comments,lineitems,,,,,,,DeliveryPlan
0,Identifier,SalesForce Opportunity ID,sfdcid,String,Opportunity,Id,Opportunity,,,customfield_11862,,,TRUE,Not in JIRA-direct or Object==CampaignOrder because this overwrites hardcoded value,,,,,,,,Account__c
1,Identifier,Name,name,String,Opportunity,Name,Delivery_Plan__c,,CampaignOrder,summary,,,,Not in JIRA-direct because this overwrites hardcoded value,,,,,,,,Account_Manager__c
10,Implement,Budget,budget,Money,Opportunity,Amount,,,CampaignOrder,customfield_10103,amount,TRUE,TRUE,,,,,,,,,Add_On_Product_Details__c
11,Implement,Currency,currencyisocode,String,Opportunity,CurrencyIsoCode,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Add_On_Products__c
12,Implement,Campaign Start Date,campaign_start_date,Date,Opportunity,Campaign_Start_Date__c,Delivery_Plan__c,,CampaignOrder,customfield_13260,,TRUE,TRUE,also in description general_info and requested by AMs,,,,,,,,Advertiser__c
13,Implement,Campaign End Date,campaign_end_date,Date,Opportunity,Campaign_End_Date__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Agency__c
14,Implement,Campaign Order Type,opp_type_new,String,Opportunity,Opp_Type_New__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Audience_Details__c
15,Implement,Original Opportunity ID,original_opportunity,String,Opportunity,Original_Opportunity__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Billing_Account_if_different__c
16,Implement,Change Type,change_type,String,Opportunity,Change_Type__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Brand__c
20,Process,Stage Name,stagename,String,Opportunity,StageName,,,CampaignOrder,,,,TRUE,,,,,,,,,Brand_Safety_Details__c
21,Process,Close Date,closedate,Date,Opportunity,CloseDate,,,CampaignOrder,,,,TRUE,,,,,,,,,Brand_Safety_Notes__c
22,Process,IO Approval Case,io_case,String,Opportunity,IO_Case__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Brand_Safety_Requirements__c
23,Process,Last Modified,lastmodifieddate,DateTime,Opportunity,LastModifiedDate,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Brand_Safety_Restrictions__c
30,Client,Brand,brand,String,Opportunity,Brand__c,Delivery_Plan__c,,CampaignOrder,customfield_13161,,TRUE,TRUE,also in description general_info,,,,,,,,Brand_Safety_Vendor__c
31,Client,Vertical,vertical,String,Opportunity,Vertical__c,,,CampaignOrder,customfield_13460,,TRUE,TRUE,,,,,,,,,Campaign_Budget__c
32,Client,Advertiser,advertiser,String,Opportunity,Advertiser__r.Name,,,CampaignOrder,customfield_12560,,TRUE,TRUE,,,,,,,,,Campaign_End_Date__c
33,Client,Account,account,String,Opportunity,Account.Name,,,CampaignOrder,,,,TRUE,,,,,,,,,Campaign_Start_Date__c
34,Client,Agency,agency,String,Opportunity,Agency__r.Name,,,CampaignOrder,customfield_16060,,TRUE,TRUE,,,,,,,,,Client_Vendor_Pre_existing_Relations__c
35,Client,Customer Tier,customer_tier,String,Opportunity,Advertiser__r.Customer_Tier__c,,,CampaignOrder,customfield_12269,,,TRUE,not in JIRA-direct because this is hardcoded,,,,,,,,CreatedById
40,Team,Sales Region,sales_region,String,Opportunity,Sales_Region__c,,,CampaignOrder,customfield_13261,,TRUE,TRUE,,,,,,,,,CreatedDate
41,Team,Account Executive,account_executive,String,Opportunity,Opportunity_Owner_User__r.Email,,,CampaignOrder,customfield_11182,name,TRUE,TRUE,,,,,,,,,CS_Manager__c
43,Team,Account Manager,account_manager,String,Opportunity,Account_Manager__r.Email,,,CampaignOrder,customfield_11183,name,TRUE,TRUE,,,,,,,,,CurrencyIsoCode
42,Team,2nd Account Executive,account_executive_2,String,Opportunity,Second_Opportunity_Owner__c.Email,,,CampaignOrder,customfield_14561,name,TRUE,TRUE,,,,,,,,,Current_Opportunity__c
43,Team,Split Details,split_notes,String,Opportunity,,#N/A,,CampaignOrder,,,,TRUE,,,,,,,,,Delivery_Budget_Rollup__c
49,Team,Assignee,account_manager,String,Opportunity,Account_Manager__r.Email,,,,assignee,name,TRUE,,Separate line to try and set assignee directly,,,,,,,,Delivery_Objectives__c
50,Details,Campaign Objectives,campaign_objectives,String,Opportunity,Campaign_Objectives__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Id
51,Details,Primary Audience,primary_audience_am,String,Opportunity,Primary_Audience_AM__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Incomplete_Line_Items__c
52,Details,Secondary Audience,secondary_audience_am,String,Opportunity,Secondary_Audience_AM__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Insights_Package__c
53,Details,Primary Audience is Hard Constraint,hard_constraints_am,String,Opportunity,,#N/A,,CampaignOrder,,,,,obsolete,,,,,,,,IsDeleted
54,Details,Secondary Audience is Hard Constraint,is_secondary_audience_a_hard_constraint,String,Opportunity,,#N/A,,CampaignOrder,,,,,obsolete,,,,,,,,LastModifiedById
60,Details,RFP Special Client Requests,rfp_special_client_requests,String,Opportunity,RFP_Special_Client_Requests__c,,,CampaignOrder,,,,,,,,,,,,,LastModifiedDate
61,Details,Special Client Requirements,special_client_requirements,String,Opportunity,Special_Client_Requirements__c,,,CampaignOrder,,,,TRUE,,,,,,,,,LastReferencedDate
62,Details,Special Notes,special_notes,String,Opportunity,Special_Notes__c,,,CampaignOrder,,,,TRUE,,,,,,,,,LastViewedDate
70,Details,Brand Safety Vendor,brand_safety_vendor,String,Opportunity,Brand_Safety_Vendor__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Media_Line_Items__c
71,Details,Type of Service,type_of_service,String,Opportunity,Type_of_Service__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Mobile_SDK_Line_Items__c
72,Details,Brand Safety Restrictions,brand_safety_restrictions,String,Opportunity,Brand_Safety_Restrictions__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Mobile_SDK_Vendor__c
73,Details,Who is Paying for Brand Safety,who_is_paying_for_brand_safety,String,Opportunity,Who_is_Paying_for_Brand_Safety__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Name
74,Details,Client Vendor Pre-existing Relationships,client_vendor_pre_existing_relations,String,Opportunity,Client_Vendor_Pre_existing_relations__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,of_CLIs__c
75,Details,Who will implement AdChoices icon,who_will_implement_adchoices_icon,String,Opportunity,Who_will_Implement_AdChoices_Icon__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Opportunity__c
76,Details,Brand Safety Notes,brand_safety_notes,String,Opportunity,Brand_Safety_Notes__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,Original_Delivery_Plan__c
77,Details,Who will wrap the tags,who_will_wrap_the_tags,String,Opportunity,Who_Will_Wrap_The_Tags__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Other_Vendor__c
78,AddOns,Insights Package,insights_package,String,Opportunity,Insights_Package__c,Delivery_Plan__c,,CampaignOrder,,,,TRUE,,,,,,,,,OwnerId
79,AddOns,Offline Sales Impact,offline_sales_impact,String,Opportunity,Offline_Sales_Impact__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Performance_Monitoring_Line_Items__c
80,AddOns,Viewability requirements,viewability_sold,String,Opportunity,Viewability_Requirements__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Performance_Monitoring_Survey_Vendor__c
81,AddOns,Viewability vendor,viewability_vendor,String,Opportunity,Viewability_Vendor__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Required_on_DP__c
82,AddOns,Supplemental Add On Products,suppl_add_on_products,String,Opportunity,Supplemental_Add_On_Products__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Rich_Media_Display_Line_Items__c
83,AddOns,Rich Media Ad Serving Fees,rm_ad_serving_fees,String,Opportunity,RM_and_Serving_Fees__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Rich_Media_Mobile_Line_Items__c
84,AddOns,Who is paying for RM Serving Fees,who_is_paying_for_rm_ad_serving_fees,String,Opportunity,Who_is_Paying_for_RM_Serving_Fees__c,,,CampaignOrder,,,,TRUE,,,,,,,,,SystemModstamp
85,AddOns,Who is Rich Media Vendor,who_is_rm_vendor,String,Opportunity,Who_is_Rich_Media_Vendor__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Type_of_Service__c
86,AddOns,Will Client Run Viewability Metrics,viewability_metrics,String,Opportunity,Viewability_Metrics__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Vendor_Details__c
87,AddOns,Who is Paying for Viewability,who_is_paying_for_viewability,String,Opportunity,Who_is_Paying_for_Viewability__c,,,CampaignOrder,,,,TRUE,,,,,,,,,Viewability_Details__c
90,AudGar,Audience Requirements,audience_requirements,String,Opportunity,Audience_Requirements__c,,,CampaignOrder,,,,TRUE,audience_requirements:String,,,,,,,,Who_is_Paying_for_Brand_Safety__c
91,AudGar,Audience Hard Constraints,audience_hard_constraints,String,Opportunity,Audience_Hard_Constraints__c,,,CampaignOrder,,,,TRUE,audience_hard_constraints:String,,,,,,,,Who_is_Paying_for_Perf_Monitor_Survey__c
92,AudGar,Audience Guarantee Age,audience_guarantee_age,String,Opportunity,Audience_Guarantee_Age__c,,,CampaignOrder,,,,TRUE,audience_guarantee_age:String,,,,,,,,Who_is_Paying_for_Rich_Media_Display__c
93,AudGar,Audience Guarantee Gender,audience_guarantee_gender,String,Opportunity,Audience_Guarantee_Gender__c,,,CampaignOrder,,,,TRUE,audience_guarantee_gender:String,,,,,,,,Who_is_Paying_for_Rich_Media_Mobile__c
94,AudGar,Audience Guarantee Geo,audience_guarantee_geo,String,Opportunity,Audience_Guarantee_GEO__c,,,CampaignOrder,,,,TRUE,audience_guarantee_geo:String,,,,,,,,Who_is_Rich_Media_Vendor_Display__c
95,AudGar,Audience Guarantee Verification Vendor,audience_guarantee_verification_vendor,String,Opportunity,Audience_Guarantee_Verification_Vendor__c,,,CampaignOrder,,,,TRUE,audience_guarantee_verification_vendor:String,,,,,,,,Who_is_Rich_Media_Vendor_Mobile__c 
96,AudGar,Viewability Optimization Goal,viewability_optimization_goal,Decimal,Opportunity,Viewability_Optimization_Goal__c,,,CampaignOrder,,,,TRUE,viewability_optimization_goal:Decimal,,,,,,,,
101,,1,li[1].add_on,String,Opportunity,Line_Item_1_Add_on__c,,,LineItem,customfield_12274,,,,,,,,,,,,
102,,1,li[1].amount,Decimal,Opportunity,LineItem1Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
103,,1,li[1].bonus_impressions,Integer,Opportunity,Bonus_Impressions_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
104,,1,li[1].cost,Decimal,Opportunity,Cost_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
105,,1,li[1].flight_instructions,String,Opportunity,Flight_Instructions_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
106,,1,li[1].goal,String,Opportunity,Goal_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
107,,1,li[1].impressions,Integer,Opportunity,Impressions_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
108,,1,li[1].io_line_item,String,Opportunity,IO_Line_Item_DR__c,,,LineItem,customfield_12274,,,,,,,,,,,,
109,,1,li[1].media_channel,String,Opportunity,LineItem1MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
110,,1,li[1].pricing_term,String,Opportunity,Line_Item_1_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
111,,1,li[1].product,String,Opportunity,Line_Item_1_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
112,,1,li[1].secondary_optimization_goal,String,Opportunity,Line_Item_1_Secondary_Optimization_Goal__c,,,LineItem,customfield_12274,,,,,,,,,,,,
201,,2,li[2].add_on,String,Opportunity,Line_Item_2_Add_on__c,,,LineItem,customfield_12274,,,,,,,,,,,,
202,,2,li[2].amount,Decimal,Opportunity,LineItem2Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
203,,2,li[2].bonus_impressions,Integer,Opportunity,Bonus_Impressions_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
204,,2,li[2].cost,Decimal,Opportunity,Cost_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
205,,2,li[2].flight_instructions,String,Opportunity,Flight_Instructions_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
206,,2,li[2].goal,String,Opportunity,Goal_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
207,,2,li[2].impressions,Integer,Opportunity,Impressions_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
208,,2,li[2].io_line_item,String,Opportunity,IO_Line_Item_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
